SA_STEP        SA_TEMP      FINAL_AVE          ERROR     ACCEPTANCE
    460     0.00652174      -0.436652     0.00217692        0.73719
    461     0.00650759       -0.44129     0.00230376         0.7371
    462     0.00649351      -0.441865     0.00210234         0.7321
    463     0.00647948      -0.433366     0.00234869        0.73378
    464     0.00646552      -0.440964     0.00205231        0.73558
    465     0.00645161      -0.422648     0.00324369        0.74735
    466     0.00643777      -0.434454     0.00252881        0.74299
    467     0.00642398      -0.429272      0.0027864        0.74746
    468     0.00641026       -0.43802     0.00284265        0.74575
    469     0.00639659      -0.447438     0.00224556        0.71871
    470     0.00638298      -0.444301     0.00222916        0.71831
    471     0.00636943      -0.440995     0.00189819        0.72294
    472     0.00635593      -0.437931     0.00212866        0.71657
    473     0.00634249      -0.441346     0.00249051        0.73696
    474     0.00632911      -0.445585     0.00230262        0.73428
    475     0.00631579      -0.447729     0.00199924        0.73162
    476     0.00630252      -0.444252     0.00210667        0.73439
    477     0.00628931      -0.444971     0.00232528        0.72038
    478     0.00627615      -0.441971      0.0025688        0.71886
    479     0.00626305      -0.442193     0.00248242        0.71983
    480        0.00625      -0.443014     0.00210748        0.71705
    481     0.00623701      -0.443776     0.00241793        0.72101
    482     0.00622407      -0.443662     0.00218854        0.71887
    483     0.00621118      -0.443834     0.00245707        0.71912
    484     0.00619835      -0.438907     0.00223864        0.71686
    485     0.00618557      -0.445997     0.00213402        0.70808
    486     0.00617284      -0.445983     0.00197613        0.70999
    487     0.00616016      -0.439213     0.00248638        0.70868
    488     0.00614754      -0.440067      0.0035164        0.70875
    489     0.00613497      -0.447157     0.00193693        0.71519
    490     0.00612245      -0.430676     0.00237535        0.69953
    491     0.00610998      -0.429793      0.0024172        0.70116
    492     0.00609756      -0.431793     0.00236845        0.70101
    493     0.00608519      -0.440066     0.00331074        0.72153
    494     0.00607287      -0.443605     0.00221077        0.72034
    495     0.00606061      -0.441543      0.0019203        0.71729
    496     0.00604839      -0.442762      0.0021509        0.71924
    497     0.00603622       -0.44097     0.00230912        0.72122
    498      0.0060241      -0.442911     0.00257991        0.72348
    499     0.00601202      -0.442624     0.00222472        0.71616
    500          0.006      -0.439025      0.0030321        0.71783
    501     0.00598802      -0.443619     0.00245267        0.71582
    502      0.0059761      -0.439774     0.00280676        0.71661
    503     0.00596421      -0.440484     0.00318603        0.71654
    504     0.00595238      -0.444001     0.00284027        0.71854
    505     0.00594059      -0.444311     0.00284571        0.73154
    506     0.00592885      -0.433152     0.00206137        0.72212
    507     0.00591716      -0.434684     0.00199583        0.73337
    508     0.00590551      -0.441599     0.00208652        0.73353
    509     0.00589391      -0.442047     0.00255718        0.74652
    510     0.00588235      -0.429176     0.00343059        0.74945
    511     0.00587084       -0.43403     0.00272158        0.74423
    512     0.00585938      -0.438867      0.0026432        0.74274
    513     0.00584795      -0.439579     0.00256128        0.74489
    514     0.00583658      -0.444677     0.00190744         0.7326
    515     0.00582524      -0.442367     0.00228685        0.71189
    516     0.00581395      -0.443752     0.00220544        0.70904
    517     0.00580271      -0.440069     0.00207583         0.7083
    518     0.00579151      -0.448673     0.00234765        0.72451
    519     0.00578035      -0.441695     0.00272634        0.72795
    520     0.00576923      -0.440121     0.00243446        0.72785
    521     0.00575816       -0.44345     0.00274053        0.72728
    522     0.00574713      -0.444147     0.00257535        0.72422
    523     0.00573614       -0.43809     0.00351207        0.72115
    524     0.00572519      -0.433759     0.00338235        0.72201
    525     0.00571429      -0.441765     0.00286067        0.72571
    526     0.00570342      -0.429881     0.00412929        0.72499
    527      0.0056926      -0.438957     0.00371744        0.72512
    528     0.00568182      -0.439135     0.00309404        0.72305
    529     0.00567108      -0.439292     0.00312681        0.72286
    530     0.00566038       -0.44104     0.00250538        0.71165
    531     0.00564972      -0.438954     0.00239849        0.71193
    532      0.0056391      -0.437354     0.00314743        0.74127
