#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         531    -6.55836    -6.61275     0.01693
         532    -6.55973    -6.61265   0.0168985
         533    -6.56146    -6.61255    0.016867
         534    -6.56356    -6.61246   0.0168357
         535    -6.56506    -6.61237   0.0168045
         536    -6.56724    -6.61229   0.0167733
         537    -6.56946    -6.61221   0.0167423
         538    -6.57107    -6.61213   0.0167113
         539    -6.57304    -6.61206   0.0166805
         540    -6.57504    -6.61199   0.0166497
         541    -6.57675    -6.61193   0.0166191
         542    -6.57881    -6.61187   0.0165885
         543    -6.58187    -6.61181   0.0165581
         544    -6.58398    -6.61176   0.0165277
         545    -6.58547    -6.61171   0.0164975
         546    -6.58697    -6.61167   0.0164673
         547    -6.58947    -6.61163   0.0164372
         548    -6.59197    -6.61159   0.0164073
         549    -6.59384    -6.61156   0.0163774
         550    -6.59604    -6.61153   0.0163477
         551    -6.59858    -6.61151    0.016318
         552    -6.60143    -6.61149   0.0162885
         553    -6.60364    -6.61147    0.016259
         554    -6.60585    -6.61146   0.0162297
         555    -6.60772    -6.61146   0.0162004
         556    -6.60991    -6.61145   0.0161713
         557    -6.61242    -6.61146   0.0161423
         558    -6.61556    -6.61146   0.0161133
         559    -6.61706    -6.61147   0.0160845
         560     -6.6192    -6.61149   0.0160558
         561    -6.62131     -6.6115   0.0160272
         562    -6.62372    -6.61153   0.0159987
         563    -6.62578    -6.61155   0.0159703
         564    -6.62749    -6.61158    0.015942
         565    -6.62949    -6.61161   0.0159138
         566    -6.63243    -6.61165   0.0158858
         567    -6.63437    -6.61169   0.0158578
         568    -6.63627    -6.61173   0.0158299
         569    -6.63813    -6.61178   0.0158022
         570    -6.63962    -6.61183   0.0157745
         571    -6.64108    -6.61188    0.015747
         572    -6.64281    -6.61193   0.0157195
         573    -6.64386    -6.61199   0.0156922
         574    -6.64583    -6.61205    0.015665
         575    -6.64711    -6.61211   0.0156379
         576    -6.64834    -6.61217   0.0156108
         577    -6.64952    -6.61224   0.0155839
         578    -6.65098     -6.6123   0.0155571
         579    -6.65272    -6.61237   0.0155304
         580    -6.65441    -6.61244   0.0155038
         581    -6.65573    -6.61252   0.0154773
         582      -6.657     -6.6126   0.0154509
         583    -6.65919    -6.61268   0.0154246
         584    -6.66069    -6.61276   0.0153984
         585    -6.66182    -6.61284   0.0153723
         586    -6.66291    -6.61293   0.0153463
         587    -6.66363    -6.61301   0.0153204
         588     -6.6643     -6.6131   0.0152946
         589    -6.66525    -6.61319   0.0152689
         590    -6.66616    -6.61328   0.0152433
         591     -6.6667    -6.61337   0.0152177
         592    -6.66753    -6.61346   0.0151923
         593      -6.668    -6.61355    0.015167
         594    -6.66875    -6.61365   0.0151417
         595    -6.66882    -6.61374   0.0151165
         596     -6.6695    -6.61383   0.0150915
         597    -6.66982    -6.61393   0.0150665
         598    -6.67044    -6.61402   0.0150416
         599      -6.672    -6.61412   0.0150168
         600    -6.67288    -6.61421   0.0149921
         601     -6.6731    -6.61431   0.0149675
         602    -6.67296    -6.61441   0.0149429
         603     -6.6728    -6.61451   0.0149184
         604    -6.67295     -6.6146   0.0148941
         605    -6.67275     -6.6147   0.0148697
         606    -6.67351     -6.6148   0.0148455
         607    -6.67457     -6.6149   0.0148214
         608    -6.67562      -6.615   0.0147974
         609    -6.67569     -6.6151   0.0147734
         610    -6.67639     -6.6152   0.0147495
         611    -6.67676     -6.6153   0.0147257
         612    -6.67712     -6.6154    0.014702
         613    -6.67682     -6.6155   0.0146784
         614    -6.67717     -6.6156   0.0146548
         615    -6.67816     -6.6157   0.0146313
         616    -6.67818     -6.6158   0.0146079
         617    -6.67853     -6.6159   0.0145846
         618    -6.67887      -6.616   0.0145614
         619    -6.67921    -6.61611   0.0145382
         620    -6.67988    -6.61621   0.0145151
         621    -6.68023    -6.61631   0.0144921
         622     -6.6809    -6.61642   0.0144692
         623    -6.68126    -6.61652   0.0144463
         624     -6.6813    -6.61662   0.0144235
         625      -6.682    -6.61673   0.0144008
         626    -6.68205    -6.61683   0.0143782
         627    -6.68277    -6.61694   0.0143557
         628    -6.68285    -6.61704   0.0143332
         629    -6.68391    -6.61715   0.0143108
         630    -6.68401    -6.61726   0.0142885
         631    -6.68445    -6.61736   0.0142662
         632    -6.68522    -6.61747   0.0142441
         633    -6.68569    -6.61758    0.014222
         634    -6.68714    -6.61769      0.0142
         635    -6.68796     -6.6178    0.014178
         636    -6.68782    -6.61791   0.0141562
         637    -6.68803    -6.61802   0.0141344
         638    -6.68857    -6.61813   0.0141126
         639    -6.68913    -6.61824    0.014091
         640    -6.68971    -6.61835   0.0140694
         641    -6.68998    -6.61846   0.0140479
         642     -6.6906    -6.61858   0.0140265
         643     -6.6909    -6.61869   0.0140051
         644     -6.6922     -6.6188   0.0139838
         645    -6.69319    -6.61892   0.0139626
         646     -6.6942    -6.61903   0.0139415
         647    -6.69458    -6.61915   0.0139204
         648     -6.6953    -6.61927   0.0138995
         649    -6.69604    -6.61939   0.0138786
         650    -6.69614     -6.6195   0.0138577
         651    -6.69724    -6.61962   0.0138369
         652    -6.69802    -6.61974   0.0138162
         653    -6.69882    -6.61987   0.0137956
         654    -6.70061    -6.61999   0.0137751
         655    -6.70143    -6.62011   0.0137546
         656     -6.7026    -6.62024   0.0137342
         657    -6.70312    -6.62037   0.0137139
         658    -6.70398    -6.62049   0.0136936
         659    -6.70518    -6.62062   0.0136734
         660    -6.70639    -6.62075   0.0136533
