#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         645     1.25883     1.18341    0.013588
         646      1.2595     1.18353   0.0135674
         647     1.26019     1.18365    0.013547
         648     1.26089     1.18377   0.0135266
         649     1.26161     1.18389   0.0135063
         650     1.26235     1.18401   0.0134861
         651      1.2631     1.18413   0.0134659
         652     1.26387     1.18425   0.0134458
         653     1.26466     1.18438   0.0134258
         654     1.26546      1.1845   0.0134058
         655     1.26627     1.18463   0.0133859
         656      1.2671     1.18475   0.0133661
         657     1.26794     1.18488   0.0133464
         658     1.26879     1.18501   0.0133267
         659     1.26965     1.18513   0.0133071
         660     1.27052     1.18526   0.0132876
         661     1.27141     1.18539   0.0132681
         662      1.2723     1.18552   0.0132487
         663      1.2732     1.18566   0.0132294
         664     1.27411     1.18579   0.0132101
         665     1.27501     1.18592   0.0131909
         666     1.27592     1.18606   0.0131718
         667     1.27683      1.1862   0.0131528
         668     1.27774     1.18633   0.0131338
         669     1.27865     1.18647   0.0131149
         670     1.27956     1.18661   0.0130961
         671     1.28046     1.18675   0.0130773
         672     1.28135     1.18689   0.0130586
         673     1.28224     1.18703     0.01304
         674     1.28311     1.18717   0.0130214
         675     1.28398     1.18732   0.0130029
         676     1.28483     1.18746   0.0129844
         677     1.28567     1.18761   0.0129661
         678     1.28649     1.18775   0.0129478
         679      1.2873      1.1879   0.0129295
         680     1.28808     1.18805   0.0129114
         681     1.28884     1.18819   0.0128932
         682     1.28959     1.18834   0.0128752
         683      1.2903     1.18849   0.0128572
         684       1.291     1.18864   0.0128393
         685     1.29166     1.18879   0.0128214
         686      1.2923     1.18894   0.0128036
         687     1.29291      1.1891   0.0127859
         688     1.29349     1.18925   0.0127682
         689     1.29404      1.1894   0.0127506
         690     1.29456     1.18955    0.012733
         691     1.29505      1.1897   0.0127155
         692      1.2955     1.18986    0.012698
         693     1.29591     1.19001   0.0126806
         694     1.29629     1.19016   0.0126633
         695     1.29664     1.19032    0.012646
         696     1.29695     1.19047   0.0126288
         697     1.29722     1.19062   0.0126116
         698     1.29745     1.19078   0.0125944
         699     1.29765     1.19093   0.0125773
         700      1.2978     1.19108   0.0125603
         701     1.29792     1.19123   0.0125433
         702     1.29799     1.19139   0.0125264
         703     1.29802     1.19154   0.0125095
         704     1.29802     1.19169   0.0124926
         705     1.29797     1.19184   0.0124758
         706     1.29788     1.19199    0.012459
         707     1.29775     1.19214   0.0124423
         708     1.29758     1.19229   0.0124256
         709     1.29738     1.19244    0.012409
         710     1.29713     1.19258   0.0123924
         711     1.29684     1.19273   0.0123758
         712      1.2965     1.19288   0.0123593
         713     1.29613     1.19302   0.0123428
         714     1.29572     1.19316   0.0123264
         715     1.29527     1.19331   0.0123099
         716     1.29478     1.19345   0.0122936
         717     1.29425     1.19359   0.0122772
         718     1.29368     1.19373   0.0122609
         719     1.29308     1.19387   0.0122446
         720     1.29244       1.194   0.0122284
         721     1.29176     1.19414   0.0122122
         722     1.29105     1.19427    0.012196
         723     1.29029     1.19441   0.0121799
         724     1.28951     1.19454   0.0121638
         725     1.28869     1.19467   0.0121477
         726     1.28783      1.1948   0.0121316
         727     1.28695     1.19492   0.0121156
         728     1.28603     1.19505   0.0120996
