#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         724         2.5     2.84431   0.0437029
         725        0.98     2.84174   0.0437182
         726         2.5     2.84127   0.0436605
         727        3.94     2.84278   0.0436266
         728        1.06     2.84033   0.0436354
         729         1.3     2.83822   0.0436266
         730         2.5     2.83775   0.0435693
         731        5.78     2.84178   0.0436953
         732        5.14     2.84492   0.0437482
         733        2.02     2.84379    0.043703
         734        3.06     2.84409   0.0436445
         735        1.06     2.84166   0.0436525
         736         1.3     2.83957   0.0436434
         737         2.9     2.83965   0.0435843
         738        3.46     2.84049   0.0435333
         739         2.9     2.84057   0.0434745
         740        3.46     2.84141   0.0434238
         741         2.9     2.84148   0.0433653
         742        4.58     2.84383   0.0433701
         743        3.46     2.84466   0.0433196
         744         2.5     2.84419   0.0432639
         745         4.1     2.84588   0.0432387
         746         1.7     2.84434    0.043208
         747         2.5     2.84388   0.0431526
         748         1.3     2.84182   0.0431442
         749         1.7     2.84029   0.0431135
         750         2.5     2.83984   0.0430585
         751        3.46     2.84067    0.043009
         752        2.42     2.84011   0.0429555
         753         1.3     2.83806   0.0429471
         754         2.5     2.83761   0.0428925
         755        2.42     2.83706   0.0428392
         756         0.9      2.8345   0.0428591
         757        2.42     2.83395    0.042806
         758         2.5     2.83351   0.0427518
         759         1.7     2.83202   0.0427216
         760        1.62     2.83042   0.0426951
         761         2.5     2.82999   0.0426412
         762        3.38     2.83071   0.0425913
         763        2.02     2.82965   0.0425488
         764        2.42     2.82911   0.0424965
         765        2.02     2.82805   0.0424541
         766         1.3     2.82606   0.0424455
         767        1.46     2.82428   0.0424275
         768        2.02     2.82323   0.0423852
         769        2.02     2.82218   0.0423429
         770        2.02     2.82114   0.0423008
         771         1.3     2.81917   0.0422919
         772        3.06     2.81948   0.0422382
         773         2.9     2.81959   0.0421837
         774        3.06      2.8199   0.0421304
         775        2.34     2.81928   0.0420806
         776        1.46     2.81753   0.0420628
         777        3.38     2.81825   0.0420149
